operatingairline,monthlytotal1,monthlytotal2,monthlytotal3,monthlytotal4,monthlytotal5,monthlytotal6,monthlytotal7,monthlytotal8,monthlytotal9,monthlytotal10,monthlytotal11,monthlytotal12,yearlytotal
"ATA Airlines",13010,9180,11583,11920,,,,,,,,,45693
"Air Canada ",18986,17679,22960,22410,24910,27485,39649,39212,24662,22519,19170,21281,300923
"Air Canada Jazz",282,,,,,116,331,285,322,244,,,1580
"Air China",3470,2862,4150,4728,4840,5718,5782,5798,5496,5487,5315,4618,58264
"Air France",7565,6469,8444,11648,11060,11567,12990,11865,11012,10731,6414,6761,116526
"Air New Zealand",6688,5448,7418,6172,5324,7066,7118,8001,6398,4645,5502,8731,78511
"AirTran Airways",4096,2964,4436,7256,7849,10421,11519,13190,9046,9183,7241,6997,94198
"Alaska Airlines",45047,37439,43227,45646,48545,48727,51694,52660,42586,45782,56775,52272,570400
"All Nippon Airways",6629,4580,5488,5758,5968,6758,6620,6915,6074,6250,6008,5328,72376
"American Airlines",118267,102286,125648,141121,143526,150444,167225,156227,134410,144608,136199,133306,1653267
"American Eagle Airlines",3676,3651,4432,4444,4314,5203,5162,4986,3761,3896,3370,3031,49926
"Ameriflight",,,,,,5,,,8,,1,4,18
"Asiana Airlines",5174,4201,4452,4669,4535,4219,4937,5214,4331,4267,4515,4451,54965
"Atlantic Southeast Airlines",,,,,,,,,1418,1569,1313,1833,6133
"BelAir Airlines",,,,,,66,237,640,13,,,,956
"British Airways",16385,13206,17643,20232,17943,20118,21205,19448,19883,19411,14642,15653,215769
"Cathay Pacific",11455,9418,11191,11302,11236,11140,11819,11042,9798,9708,10258,9984,128351
"China Airlines",11773,9050,11642,10976,10862,10912,11898,11965,8504,8908,9575,10489,126554
"Delta Air Lines",63529,56760,75138,78675,73345,82227,89907,86823,63854,65925,58291,53906,848380
"EVA Airways",12939,11113,12397,11981,11580,12335,14339,14889,10419,14889,11209,12622,150712
"Evergreen International Airlines",,,,,,,,,,,2,,2
"Frontier Airlines",12096,11945,15659,16184,19205,17507,24996,24068,18748,18901,19846,17125,216280
"Hawaiian Airlines",7478,6369,7369,6718,7145,7088,7294,7483,7008,7250,6805,6743,84750
"Horizon Air ",3483,3489,4709,3854,4362,4634,4644,4596,4429,4407,4241,4345,51193
"Icelandair",,,,,933,3063,4422,6129,1951,600,,,17098
"Japan Airlines",8755,7344,7586,7833,7296,8612,9584,9683,7477,8495,7907,7113,97685
"KLM Royal Dutch Airlines",7421,6240,8161,8209,8158,8197,8394,8401,8143,8421,7660,7722,95127
"Korean Air Lines",6323,4850,4764,5298,6099,6732,7372,7592,4532,4028,4014,4199,65803
"Lufthansa German Airlines",15751,13023,16015,20217,20441,20337,22233,21517,19993,21044,18802,19263,228636
"Mesa Airlines",1404,1179,1243,1133,1404,1107,,,150,,,,7620
"Mexicana Airlines",8043,6552,6826,8210,6813,6385,9302,8490,4797,5288,5390,5357,81453
"Midwest Airlines",1758,1817,2468,5641,2675,6481,7008,6600,5852,2058,2049,1785,46192
"Northwest Airlines",46056,41230,50656,52763,55136,70110,77979,72521,56830,59774,50383,51511,684949
"Philippine Airlines",11503,9974,10820,13143,13012,10288,13272,13291,8900,9434,10320,8883,132840
"Qantas Airways",,,520,3963,3927,5415,8140,5650,3704,3393,3433,6765,44910
"Singapore Airlines",18735,14183,16180,16559,15846,16891,19362,19825,15706,14070,14627,16438,198422
"SkyWest Airlines",99338,98099,115348,106186,115295,110723,116383,115127,107725,113524,103307,104071,1305126
"Spirit Airlines",,,,,714,3183,3638,3597,2875,3357,3146,,20510
"Sun Country Airlines",2370,2207,3719,3318,3525,4181,4684,4653,3483,3537,3520,3597,42794
"TACA",6237,4176,4436,4518,4660,4563,6297,6235,3193,3136,3756,4516,55723
"US Airways",56503,51235,58887,65021,73793,80110,82359,85098,70637,72640,67395,68053,831731
"United Airlines",43087,37044,46236,49853,51811,60431,66914,65805,53954,55699,49094,50618,630546
"United Airlines - Pre 07/01/2013",528314,479588,579706,574763,585245,599563,645021,627162,565501,594113,561444,556143,6896563
"Virgin Atlantic",9605,7473,9499,10275,9277,10555,11517,10685,10712,9779,8044,9050,116471
"WestJet Airlines",522,,,,,,,,,,,,522
"Xtra Airways",,,,,,,,73,,,,,73
